product_id,product_type,product_name,description
1,credit,military_credit,loans for defense industry workers and military personnel
2,credit,anypurpose_credit,a loan for any purpose with the option to repay all interest
3,credit,refinancing_credit,loan refinancing
4,credit,turbodengi_credit,express loan for fast money
5,card,tvoicashback_card,debit card with 25% cashback
6,card,svoi_card,electronic ID card for combat veterans of special military operation in Russia
7,card,citizen_card,multifunctional tool based on the Mir payment system serving as a payment instrument and a carrier of several documents and integrates social and other services
8,card,CSKA_card,PFC CSKA Debit Club Card which gives increased cashback for football fans
9,card,onlyforward_card,increased cashback for those who actively care about their health
10,card,credit_card,credit card 180 days interest-free with a long grace period
11,card,pension_card,PSB debit pension card
12,card,veterans_card,card for retired law enforcement officers and combat veterans
13,card,tvoiplus_card,"Your Plus" Salary Card Get a card and earn even more
14,card,tvoicashback_sticker_card,Payment sticker for the "Your Cashback" card Pay for purchases with your phone with one touch
15,card,strong_people_card,"Strong People. Special Purpose Tariff" Salary Card for military personnel and law enforcement officers
16,card,individual_salary_card,Personalized Salary Card Manage your money more efficiently
17,card,salarypro_card,salary card with privileges for salary clients
18,deposit,bet_on_future_deposit,"Bet on the Future" Deposit for participants in the PSB NPF long-term savings program
19,deposit,precios_deposit,Buy precious metals and open a deposit with special terms
20,deposit,strong_rate_deposit,Place new funds and earn more
21,deposit,my_income_deposit,Deposits from a bank with maximum reliability Up to 1.4 million rubles are insured by the state
22,deposit,stable_income_deposit,Guaranteed income every month
23,deposit,kopilka_deposit,Open and earn interest every month
24,deposit,my_opportunities_deposit,You can top up your deposit or withdraw money at any time
25,deposit,yuan_deposit,With unlimited extension
26,deposit,social_deposit,For bank clients who receive social support from the state
27,savings_account,accent_on_interest_savings_account,Pay for purchases with your PSB card and receive additional benefits and Unlimited interest accrual
28,savings_account,for_spares_savings_account,Interest accrual on the minimum balance will help avoid impulse purchases
29,savings_account,keeper_savings_account,Choose your own rules for your savings account
30,premium,orange_club_premium,Enhanced comfort and advanced financial management and Travel insurance and complimentary business lounges and Increased cashback and discounts from partners and Financial consultations and secure services
31,premium,private_banking_premium,Personal concierge family-friendly service and exclusive events and Exceptional confidentiality and Privileges from payment systems and special deposit terms and Investment portfolio management
32,investments,tools_and_services_for_investing,Earn money on the stock market without experience with investments from 10 rubles using ready-made solutions or on your own
33,cashback,multinel_cashback,10% cashback for all online purchases made on the website Multinel is a Russian brand of home appliances
34,cashback,readyskin_cashback,10% cashback for all online purchases made on the website ReadySkin — health and wellness products
35,cashback,rokodil_cashback,10% cashback for all online purchases made on the Rokodil website — construction power tools
36,cashback,galaxystore_cashback,3% cashback For all online purchases made on the website Galaxystore is an authorized Samsung brand store
37,cashback,beeline_cashback,4% cashback and all online purchases made on the website Beeline is a mobile operator providing services throughout the Russian Federation
38,cashback,restore_cashback,3% cashback for all online purchases made on the website of a chain of premium electronics stores selling Apple and other global brands with a 20-year history
39,cashback,krona_cashback,5.5% cashback for any purchases in the Krona online store of kitchen appliances
40,cashback,megaphone_cashback,3% cashback for purchasing selected products in the Megafon online store of equipment and accessories
41,health_discount,optimist_optika_discount,10% cashback for your first purchase made at Optimist Optika optical stores — a nationwide network of optical stores offering professional vision diagnostics and a wide selection of glasses and lenses throughout Russia
42,health_discount,healthru_discount,30% discount for the first payment for tests ordered through the Zdorovie.ru app a free app that helps you stay healthy
43,health_discount,youtalk_discount,30% discount For your first payment with an online psychologist YouTalk — individual and family online consultations with verified psychologists
44,health_discount,ochkarik_discount,3% cashback on any purchases at Ochkarik retail and online stores
45,health_discount,medsi_discount,cashback up to 5% at a network of private clinics for children and adults for your first payment this month
46,travel_cashback,ostrovok_cashback,7% cashback for hotel bookings and payments on the joint website of Ostrovok! and PSB Bank
47,travel_cashback,level_travel_cashback,Cashback of up to 10% on purchases on the joint website of PSB Bank and Level Travel — an online service for searching and purchasing tours and booking hotels from leading Russian tour operators
48,travel_cashback,travelata_ru_cashback,3% Cashback When you pay for tours on the joint website of Travelata and PSB Bank. Travelata is the largest online travel store in Russia
49,travel_cashback,otello_cashback,10% cashback For your first booking using the link Othello — a service for booking hotels resorts and apartments at competitive prices
50,travel_cashback,aviakassa_cashback,Cashback up to 4% for all purchases on the joint website of PSB Bank and Aviakassa - a reliable assistant in organizing trips to any point in the world even the most remote ones
51,travel_cashback,one_two_trip_cashback,Cashback up to 7.5% on purchases on the joint website of PSB Bank and One Two Trip – a convenient profitable and reliable online service for organizing travel
52,transport_cashback,daocam_cashback,10% cashback on all online purchases made on the Daocam website – a manufacturer of automotive electronics
53,transport_cashback,roadgid_cashback,10% cashback on all online purchases made on the Roadgid website — car DVRs modern car technology
54,transport_cashback,gruzovichkof_cashback,5% cashback when paying for transport and logistics services on the website or in the mobile app
